_ID	STORY	DELIMS	TOKENS	TYPES
352	A	6	36	19
352	B	6	32	21
353	A	0	0	0
353	B	7	49	26
354	A	11	82	30
354	B	9	65	39
355	A	6	23	12
355	B	5	20	12
356	A	19	89	49
356	B	10	42	23
357	A	7	28	17
358	A	0	0	0
359	A	0	0	0
359	B	0	32	19
360	A	3	12	8
360	B	0	8	5
361	A	2	4	4
361	B	1	5	5
370	A	10	61	32
370	B	8	52	26
371	A	6	26	15
371	B	9	37	22
372	A	18	57	29
372	B	9	54	33
373	A	6	27	19
373	B	10	49	30
374	A	9	42	22
374	B	18	93	53
375	A	13	82	34
375	B	7	51	28
376	A	4	13	8
376	B	7	34	18
377	A	5	20	15
377	B	5	24	20
378	A	9	58	27
378	B	6	35	25
379	A	8	81	33
379	B	6	44	26
380	A	15	78	38
380	B	5	27	13
390	A	8	42	21
390	B	10	46	28
391	A	15	72	35
391	B	9	52	33
392	A	13	72	33
392	B	8	37	25
393	A	7	31	17
394	A	12	63	30
394	B	13	54	27
395	A	15	78	38
395	B	9	47	34
396	A	0	0	0
397	A	6	35	17
397	B	8	43	24
398	A	7	50	22
398	B	8	51	31
399	A	22	112	50
399	B	9	44	25
400	A	6	22	17
401	A	10	45	26
401	B	11	50	29
410	A	7	34	16
410	B	4	27	14
412	A	4	24	12
412	B	7	35	18
413	A	8	41	21
413	B	7	34	21
414	A	2	18	12
414	B	7	30	14
416	A	10	35	18
416	B	5	34	23
417	A	10	58	23
417	B	11	76	29
418	A	5	28	18
418	B	5	22	12
419	A	6	23	14
420	A	7	31	19
420	B	5	16	4
421	A	12	60	27
421	B	10	47	31
422	A	4	23	14
422	B	7	28	23
423	A	8	37	19
423	B	7	37	26
430	A	10	60	29
430	B	9	50	26
431	A	12	65	28
431	B	4	30	18
432	A	6	18	4
433	A	9	70	38
433	B	11	76	37
434	A	2	13	12
435	A	5	37	21
435	B	12	88	32
436	A	11	49	16
436	B	9	58	21
437	A	6	37	15
437	B	5	34	17
438	A	0	0	0
438	B	2	14	13
439	A	5	41	18
439	B	7	53	26
440	A	0	0	0
440	B	14	111	47
441	A	0	0	0
447	A	0	0	0
450	A	9	49	24
451	A	6	37	23
451	B	7	54	30
452	A	4	23	10
453	A	7	49	25
453	B	8	43	23
454	A	6	32	23
454	B	9	43	27
455	A	0	0	0
455	B	12	74	42
456	A	5	21	14
456	B	8	63	38
457	A	8	52	28
457	B	10	57	29
458	A	14	82	42
458	B	10	67	39
459	A	1	43	32
460	A	6	38	23
460	B	10	66	26
461	A	6	38	20
461	B	4	30	17
462	A	2	12	11
463	A	8	48	23
463	B	5	26	16
470	A	6	28	16
470	B	4	21	13
471	A	9	45	27
471	B	12	65	32
473	A	6	38	18
473	B	6	26	14
474	A	8	38	21
474	B	10	51	26
475	A	8	56	27
475	B	6	29	18
476	A	5	25	19
476	B	10	58	28
477	A	0	0	0
477	B	7	53	28
478	A	8	36	17
478	B	3	15	14
479	A	10	88	34
479	B	9	42	25
480	A	7	25	16
480	B	5	24	17
481	A	5	30	18
481	B	4	16	10
482	A	9	44	28
482	B	12	61	36
483	A	11	71	32
483	B	5	23	17
490	A	8	38	18
490	B	6	28	15
491	A	5	23	16
491	B	9	45	28
492	A	4	24	17
492	B	7	32	22
493	A	11	63	34
493	B	14	79	39
494	A	11	57	32
494	B	7	38	22
495	A	12	66	33
495	B	13	65	35
500	A	0	0	0
500	B	7	32	24
501	A	0	0	0
501	B	8	43	26
