SUBJ	SESS	SPKR	VTYPS	VTOKS
29	10	C	83	617
29	10	P	102	965
29	11	C	51	343
29	12	C	69	482
29	12	P	3	4
33	1	P	65	563
33	2	C	1	2
33	2	P	110	783
33	3	C	4	27
33	3	P	96	792
33	4	C	34	109
33	4	P	109	642
33	5	C	28	158
33	5	P	102	598
33	6	C	38	270
33	6	P	75	464
33	7	C	66	342
33	7	P	91	412
33	8	C	54	263
33	8	P	75	390
33	9	C	61	279
33	9	P	48	108
33	10	C	62	285
33	10	P	61	269
33	11	C	24	61
33	11	P	47	163
33	12	C	41	148
33	12	P	41	113
37	1	C	3	6
37	1	P	76	663
37	2	C	6	14
37	2	P	167	845
37	3	C	19	45
37	3	P	79	424
37	4	C	42	193
37	4	P	56	177
37	5	C	20	79
37	5	P	105	926
37	6	C	59	346
37	6	P	89	512
37	7	C	47	318
37	7	P	163	1055
37	8	C	50	293
37	8	P	58	213
37	9	C	31	112
37	9	P	82	704
37	10	C	62	269
37	10	P	136	930
37	11	C	31	109
37	11	P	97	651
37	12	C	53	220
37	12	P	112	1046
38	1	C	2	2
38	1	P	108	945
38	2	C	5	26
38	2	P	92	738
38	3	C	17	104
38	3	P	111	789
38	4	C	51	256
38	4	P	116	644
38	5	C	46	333
38	5	P	99	524
38	6	C	52	314
38	6	P	105	682
38	7	C	58	316
38	7	P	77	245
38	8	C	55	287
38	8	P	69	323
38	9	C	72	401
38	9	P	100	718
38	10	C	66	418
38	10	P	88	461
38	11	C	90	576
38	11	P	115	654
38	12	C	72	334
38	12	P	98	518
39	1	C	3	32
39	1	P	78	759
39	2	C	7	33
39	2	P	92	690
39	3	C	31	126
39	3	P	85	670
39	4	C	49	270
39	4	P	85	592
39	5	C	58	390
39	5	P	78	314
39	6	C	70	573
39	6	P	76	417
39	7	C	65	509
39	7	P	79	532
39	8	C	58	436
39	8	P	85	660
39	9	C	97	685
39	9	P	36	118
39	10	C	67	403
39	10	P	81	446
39	11	C	73	395
39	11	P	48	125
39	12	C	81	516
39	12	P	53	203
40	1	C	3	4
40	1	P	106	914
40	2	C	1	1
40	2	P	96	930
40	3	C	22	99
40	3	P	104	1052
40	4	C	41	182
40	4	P	116	1248
40	5	C	50	250
40	5	P	72	389
40	6	C	71	431
40	6	P	86	531
40	7	C	59	293
40	7	P	126	1066
40	8	C	72	447
40	8	P	58	201
40	9	C	70	370
40	9	P	44	123
40	10	C	89	514
40	10	P	93	417
40	11	C	124	936
40	11	P	61	195
40	12	C	90	426
40	12	P	52	185
42	1	P	67	396
42	2	P	65	583
42	3	C	1	4
42	3	P	92	830
42	4	C	6	19
42	4	P	114	1158
42	5	C	50	212
42	5	P	112	776
42	6	C	39	292
42	6	P	123	630
42	7	C	48	296
42	7	P	73	356
42	8	C	50	262
42	8	P	87	427
42	9	C	60	353
42	9	P	46	174
42	10	C	69	312
42	10	P	94	335
42	12	C	79	494
42	12	P	75	379
43	1	C	3	4
43	1	P	89	691
43	2	C	6	12
43	2	P	81	493
43	3	C	28	84
43	3	P	85	516
43	4	C	47	162
43	4	P	98	668
43	5	C	61	215
43	5	P	106	561
43	6	C	70	297
43	6	P	128	859
43	7	C	64	320
43	7	P	98	710
43	8	C	59	281
43	8	P	86	490
43	9	C	72	292
43	9	P	69	307
43	10	C	97	486
43	10	P	103	566
43	11	C	85	466
43	11	P	79	422
43	12	C	95	328
43	12	P	108	536
44	1	P	81	588
44	2	C	2	3
44	2	P	47	274
44	3	C	19	61
44	3	P	69	506
44	4	C	35	241
44	4	P	71	442
44	5	C	41	216
44	5	P	63	351
44	6	C	41	195
44	6	P	41	144
44	7	C	65	347
44	7	P	47	168
44	8	C	77	381
44	8	P	54	148
