SUBJ	RECR	SESS	STAT	PROJ
166	0	27	0	1
166	0	13	1	0
166	0	14	1	0
166	0	15	1	0
167	0	1	0	0
167	0	2	0	0
167	0	3	0	0
167	0	4	1	0
167	0	5	1	0
167	0	6	1	0
167	0	8	1	0
167	0	10	1	0
167	0	11	1	0
167	0	12	1	0
167	0	16	1	0
167	0	17	1	0
167	0	18	1	0
167	0	19	1	0
167	0	20	1	0
167	0	21	0	1
167	0	22	0	1
167	0	23	0	1
167	0	24	0	1
167	0	25	0	1
167	0	26	0	1
167	0	27	0	1
167	0	13	1	0
167	0	15	1	0
167	0	14	0	0
168	0	1	0	0
168	0	2	1	0
168	0	3	1	0
168	0	4	1	0
168	0	5	1	0
168	0	6	1	0
168	0	8	1	0
168	0	9	1	0
168	0	10	1	0
168	0	11	1	0
168	0	12	1	0
168	0	16	0	1
168	0	17	0	1
168	0	18	0	1
168	0	19	0	1
168	0	20	0	1
168	0	21	0	1
168	0	22	0	1
168	0	23	0	1
168	0	24	0	1
168	0	25	0	1
168	0	26	0	1
168	0	27	0	1
168	0	13	0	0
168	0	14	0	1
168	0	15	0	1
170	0	1	0	0
170	0	2	1	0
170	0	3	1	0
170	0	4	1	0
170	0	5	1	0
170	0	6	1	0
170	0	7	1	0
170	0	8	1	0
170	0	9	1	0
170	0	10	1	0
170	0	11	1	0
170	0	12	1	0
170	0	16	0	1
170	0	17	0	1
170	0	18	0	1
170	0	19	0	1
170	0	20	0	1
170	0	21	0	1
170	0	22	0	1
170	0	23	0	1
170	0	24	0	1
170	0	25	0	1
170	0	26	0	1
170	0	27	0	1
170	0	13	1	0
170	0	14	0	1
170	0	15	0	1
171	0	1	1	0
171	0	2	1	0
171	0	3	1	0
171	0	4	1	0
171	0	5	1	0
171	0	6	1	0
171	0	7	1	0
171	0	8	1	0
171	0	9	1	0
171	0	10	1	0
171	0	11	1	0
171	0	12	1	0
171	0	16	0	1
171	0	17	0	1
171	0	18	0	1
171	0	19	0	1
171	0	20	0	1
171	0	21	0	1
171	0	22	0	1
171	0	23	0	1
171	0	24	0	1
171	0	25	0	1
171	0	26	0	1
171	0	27	0	1
171	0	13	0	1
171	0	14	0	1
171	0	15	0	1
172	0	1	0	0
172	0	2	0	0
172	0	3	1	0
172	0	4	1	0
172	0	5	1	0
172	0	6	1	0
172	0	7	1	0
172	0	8	1	0
172	0	9	1	0
172	0	10	1	0
172	0	11	1	0
172	0	12	1	0
172	0	16	0	1
172	0	17	0	1
172	0	18	0	1
172	0	19	0	1
172	0	20	0	1
172	0	21	0	1
172	0	22	0	1
172	0	23	0	1
172	0	24	0	1
172	0	25	0	1
172	0	26	0	1
172	0	27	0	1
172	0	13	1	0
172	0	14	0	1
172	0	15	0	1
200	1	1	0	0
200	1	2	0	0
200	1	3	0	0
200	1	4	0	0
200	1	5	0	0
200	1	6	0	0
200	1	7	0	0
200	1	8	0	0
200	1	9	0	0
200	1	10	0	0
200	1	11	0	0
200	1	12	0	0
200	1	16	0	0
200	1	17	0	0
200	1	18	0	0
200	1	19	0	0
200	1	20	0	0
200	1	21	0	0
200	1	22	0	1
200	1	23	0	1
200	1	24	0	1
200	1	25	0	1
200	1	26	0	1
200	1	27	0	1
200	1	13	0	0
200	1	14	0	0
200	1	15	0	0
201	1	1	0	0
201	1	2	0	0
201	1	3	0	0
201	1	4	0	0
201	1	5	0	0
201	1	6	0	0
201	1	7	0	0
201	1	8	0	0
201	1	9	0	0
201	1	10	0	0
201	1	11	0	0
201	1	12	0	0
201	1	16	0	0
201	1	17	0	0
