subject	session	speaker	protocol	last_update	utterances	word_tokens	word_types	mlu
107	2	P	H		1103	3552	416	3.22030825023
107	2	C	H		310	399	91	1.28709677419
107	3	P	H		689	2681	410	3.89114658926
107	3	C	H		137	188	81	1.37226277372
107	4	P	H		872	3490	362	4.00229357798
107	4	C	H		106	200	87	1.88679245283
107	5	P	H		1542	6850	558	4.44228274968
107	5	C	H		593	1196	274	2.01686340641
107	6	P	H		1241	4949	519	3.98791297341
107	6	C	H		502	969	210	1.93027888446
107	7	P	H		1345	5558	544	4.13234200743
107	7	C	H		557	1800	289	3.2315978456
107	8	P	H		1468	6297	523	4.28950953678
107	8	C	H		681	2639	358	3.8751835536
107	9	P	H		1676	7268	538	4.33651551313
107	9	C	H		677	2061	337	3.04431314623
107	10	P	H		1157	5164	500	4.46326707001
107	10	C	H		501	2015	323	4.02195608782
107	11	P	H		1126	4990	441	4.43161634103
107	11	C	H		388	1399	231	3.60567010309
107	12	P	H		1188	5527	557	4.65235690236
107	12	C	H		602	2711	359	4.50332225914
108	1	P	H		990	3127	422	3.15858585859
108	1	C	H		30	33	9	1.1
108	2	P	H		1245	3650	430	2.93172690763
108	2	C	H		82	86	19	1.0487804878
108	3	P	H		1463	4822	487	3.2959671907
108	3	C	H		611	819	137	1.34042553191
108	4	P	H		1145	3971	514	3.46812227074
108	4	C	H		940	1784	266	1.89787234043
108	5	P	H		1526	6008	740	3.9370904325
108	5	C	H		743	1862	299	2.50605652759
108	6	P	H		1741	7188	820	4.12866168868
108	6	C	H		606	1479	252	2.44059405941
108	7	P	H		1435	5657	702	3.94216027875
108	7	C	H		918	3011	374	3.27995642702
108	8	P	H		1190	5158	766	4.33445378151
108	8	C	H		662	1847	317	2.79003021148
108	9	P	H		1799	7205	796	4.00500277932
108	9	C	H		599	1742	291	2.9081803005
108	10	P	H		951	4264	539	4.48370136698
108	10	C	H		483	1715	310	3.55072463768
108	11	P	H		926	3848	566	4.1555075594
108	11	C	H		767	2816	466	3.67144719687
108	12	P	H		818	3380	518	4.13202933985
108	12	C	H		424	1273	270	3.00235849057
109	1	P	H		958	4161	528	4.34342379958
109	1	C	H		2	4	2	2.0
109	2	P	H		787	2967	439	3.77001270648
109	2	C	H		6	6	3	1.0
109	3	P	H		969	4874	584	5.02992776058
109	3	C	H		3	3	2	1.0
109	4	P	H		418	1376	243	3.29186602871
109	4	C	H		48	57	16	1.1875
109	5	P	H		867	4062	497	4.68512110727
109	5	C	H		319	450	101	1.41065830721
109	6	P	H		671	2820	372	4.20268256334
109	6	C	H		323	521	110	1.61300309598
109	7	P	H		973	4170	403	4.28571428571
109	7	C	H		732	1880	211	2.56830601093
109	8	P	H		952	4607	494	4.83928571429
109	8	C	H		556	1666	233	2.9964028777
109	9	P	H		973	5655	550	5.81192189106
