SUBJ	SEX	EDU	INC	RACE	ETHN	SESS	AGE	PWT	CWT
75	M	5	6	W	N	1	14	720	1
54	M	5	2	W	N	4	26	669	338
40	F	2	5	M	N	3	22	465	165
92	M	4	6	W	N	2	18	514	106
47	F	5	6	W	N	6	34	583	257
76	M	4	4	B	N	7	38	0	0
75	M	5	6	W	N	10	50	959	368
64	M	3	2	W	H	2	18	234	29
28	F	4	6	W	N	6	34	406	179
49	M	4	5	W	N	6	34	663	246
50	M	4	3	W	N	11	54	384	407
