SUBJ	SEX	EDU	INC	RACE	ETHN	SESS	AGE	PWT	CWT
79	M	4	6	W	N	8	42	521	355
45	F	4	6	W	N	8	42	587	468
108	F	2	3	M	N	10	50	539	310
91	F	5	6	W	N	5	30	553	270
79	M	4	6	W	N	11	54	420	322
73	F	1	2	W	H	4	26	201	172
59	F	5	4	B	N	3	22	239	38
55	F	2	2	W	H	11	54	491	532
78	M	5	2	W	N	1	14	404	1
40	F	2	5	M	N	9	46	203	379
64	M	3	2	W	H	11	54	325	211
102	M	4	1	W	N	8	42	579	334
51	M	4	3	W	H	3	22	518	133
39	M	4	6	B	N	7	38	338	333
75	M	5	6	W	N	3	22	651	140
45	F	4	6	W	N	9	46	412	291
74	F	4	5	W	N	10	50	421	390
123	M	4	6	W	H	4	26	545	91
127	M	4	4	W	H	1	14	372	43
126	F	2	2	B	N	9	46	0	0
81	F	2	2	W	N	9	46	152	223
79	M	4	6	W	N	7	38	489	329
123	M	4	6	W	H	11	54	0	0
87	M	5	1	B	N	8	42	259	241
68	F	3	2	B	N	11	54	319	245
72	M	5	5	W	N	3	22	393	34
88	M	5	5	W	H	10	50	375	227
25	M	4	4	W	N	4	26	386	132
73	F	1	2	W	H	6	34	326	301
78	M	5	2	W	N	3	22	500	4
42	M	3	2	W	N	8	42	406	260
42	M	3	2	W	N	3	22	464	36
76	M	4	4	B	N	9	46	0	0
29	F	5	6	M	N	6	34	539	358
83	F	5	4	W	N	5	30	297	90
37	F	4	4	W	N	1	14	358	37
54	M	5	2	W	N	3	22	618	210
25	M	4	4	W	N	11	54	91	293
28	F	4	6	W	N	7	38	510	302
127	M	4	4	W	H	3	22	464	153
66	F	4	3	W	N	9	46	912	305
24	F	5	5	B	N	10	50	612	443
43	M	4	4	W	N	6	34	639	359
126	F	2	2	B	N	6	34	298	176
108	F	2	3	M	N	9	46	796	291
80	M	3	2	B	N	4	26	268	62
87	M	5	1	B	N	6	34	221	135
123	M	4	6	W	H	7	38	0	0
59	F	5	4	B	N	4	26	212	73
107	M	3	4	W	N	8	42	523	358
126	F	2	2	B	N	7	38	520	285
78	M	5	2	W	N	4	26	549	4
89	M	4	3	B	N	5	30	292	212
22	F	4	5	W	N	3	22	452	144
39	M	4	6	B	N	3	22	360	168
47	F	5	6	W	N	8	42	516	316
37	F	4	4	W	N	3	22	398	112
27	M	5	6	W	N	2	18	604	8
92	M	4	6	W	N	5	30	674	392
24	F	5	5	B	N	6	34	418	361
29	F	5	6	M	N	10	50	625	471
68	F	3	2	B	N	2	18	338	22
110	F	4	5	W	N	4	26	335	186
33	M	3	2	B	N	7	38	403	306
24	F	5	5	B	N	5	30	533	387
29	F	5	6	M	N	1	14	468	10
54	M	5	2	W	N	6	34	653	395
40	F	2	5	M	N	10	50	437	451
107	M	3	4	W	N	6	34	519	210
78	M	5	2	W	N	6	34	334	37
105	F	4	4	W	N	9	46	438	215
74	F	4	5	W	N	4	26	525	177
106	F	5	4	M	N	6	34	368	272
42	M	3	2	W	N	4	26	666	154
