SUBJ	SESS	VOCAB	READ_WJ	READ_GM
106	11	80		
106	22		494	
106	22			510
106	25		508	
106	25			524
106	27	160		
107	1			
107	5	1		
107	8	36		
107	11	78		
107	22		497	
107	22			480
107	25		511	
107	25			497
108	1			
108	5	45		
108	8	40		
108	11	81		
108	22		473	
108	22			480
108	25		483	
108	25			545
108	27	164		
109	1			
109	5	11		
109	8	41		
109	11	67		
109	22		489	
109	22			451
109	25		506	
109	25			524
109	27	146		
110	1			
119	1			
119	5	42		
119	8	48		
119	11	81		
119	22		506	
119	22			510
119	25		519	
119	25			562
119	27	163		
123	1			
123	5	42		
124	1			
124	5	25		
124	8	59		
125	1			
125	5	32		
125	8	76		
125	11	79		
125	22		516	
125	22			516
125	25		511	
125	25			545
125	27	155		
126	1			
126	5	4		
126	8	39		
126	11			
127	1			
127	5	31		
127	8	81		
127	11	80		
127	22		525	
127	22			534
127	25		525	
127	25			562
127	27	165		
